Rnk,Player,Team,Gms,CLUTCH,SH,DF,FT,TO,REB,AST,STL,BLK
13,Dru Smith,BKN,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Alondes Williams,BKN,1,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00
15,Ben Simmons,BKN,31,-0.02,0.33,0.18,-0.10,-0.43,0.51,1.99,0.41,0.09
16,David Duke Jr.,BKN,14,-0.04,0.01,0.02,0.02,-0.09,0.07,0.08,0.03,0.00
17,Kessler Edwards,BKN,12,-0.06,-0.01,0.00,0.00,-0.05,0.03,0.00,0.01,0.00
18,Edmond Sumner,BKN,35,-0.09,-0.03,0.05,-0.01,-0.11,0.04,0.25,0.07,0.03
1,Jayson Tatum,BOS,40,1.24,1.21,0.57,0.09,-0.62,0.79,1.05,0.22,0.16
2,Grant Williams,BOS,42,0.74,0.79,0.21,0.08,-0.34,0.48,0.45,0.18,0.10
3,Malcolm Brogdon,BOS,38,0.70,0.65,0.23,0.06,-0.24,0.33,0.82,0.09,0.03
4,Jaylen Brown,BOS,39,0.66,0.67,0.50,0.12,-0.63,0.62,0.81,0.32,0.15
5,Sam Hauser,BOS,44,0.46,0.40,0.06,0.01,-0.01,0.10,0.19,0.07,0.00
6,Al Horford,BOS,33,0.40,0.45,0.03,0.01,-0.09,0.35,0.47,0.08,0.13
7,Robert Williams III,BOS,12,0.30,0.28,0.02,0.01,-0.02,0.15,0.14,0.04,0.08
8,Derrick White,BOS,44,0.28,0.33,0.17,0.05,-0.26,0.16,1.14,0.16,0.18
9,Payton Pritchard,BOS,29,0.24,0.26,0.01,0.00,-0.05,0.07,0.11,0.05,0.00
10,Luke Kornet,BOS,37,0.16,0.17,0.01,0.00,-0.02,0.14,0.08,0.06,0.01
11,Noah Vonleh,BOS,23,0.03,0.05,0.01,0.01,-0.04,0.09,0.03,0.00,0.00
12,Marcus Smart,BOS,38,0.02,0.30,0.22,0.06,-0.56,0.28,2.33,0.47,0.05
13,Blake Griffin,BOS,16,0.01,-0.01,0.03,0.01,-0.01,0.05,0.04,0.04,0.00
14,Danilo Gallinari,BOS,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Justin Jackson,BOS,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Mfiondu Kabengele,BOS,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,JD Davison,BOS,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Dennis Smith Jr.,CHA,22,0.39,0.46,0.06,-0.04,-0.09,0.18,1.44,0.20,0.04
2,P.J. Washington,CHA,42,0.38,0.76,0.24,0.05,-0.67,0.58,0.75,0.22,0.17
3,Nick Richards,CHA,37,0.34,0.31,0.16,0.06,-0.20,0.48,0.12,0.04,0.12
4,Jalen McDaniels,CHA,43,0.32,0.54,0.22,0.00,-0.45,0.49,0.65,0.24,0.08
