Rnk,Player,Team,Gms,CLUTCH,SH,DF,FT,TO,REB,AST,STL,BLK
11,Matthew Dellavedova,SAC,18,0.05,0.07,0.00,0.00,-0.02,0.02,0.11,0.07,0.00
12,Terence Davis,SAC,32,0.04,0.18,0.06,0.02,-0.23,0.29,0.27,0.21,0.04
13,Keon Ellis,SAC,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,PJ Dozier,SAC,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Alex Len,SAC,10,-0.01,0.00,0.00,-0.00,-0.00,0.01,0.00,0.00,0.00
16,Chima Moneke,SAC,2,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Neemias Queta,SAC,3,-0.02,0.00,0.00,0.00,-0.02,0.00,0.00,0.00,0.00
18,KZ Okpala,SAC,29,-0.02,0.00,0.00,0.00,-0.02,0.06,0.04,0.07,0.00
1,Doug McDermott,SAS,36,0.52,0.53,0.09,0.02,-0.12,0.07,0.28,0.06,0.01
2,Jakob Poeltl,SAS,34,0.40,0.62,0.19,-0.06,-0.35,0.71,0.44,0.13,0.08
3,Devin Vassell,SAS,28,0.36,0.28,0.35,-0.01,-0.26,0.12,0.56,0.10,0.03
4,Stanley Johnson,SAS,16,0.24,0.26,0.02,-0.01,-0.04,0.03,0.23,0.00,0.00
5,Romeo Langford,SAS,29,0.22,0.24,0.05,0.03,-0.10,0.17,0.16,0.04,0.03
6,Josh Richardson,SAS,31,0.19,0.44,0.09,0.02,-0.36,0.11,0.88,0.11,0.01
7,Keita Bates-Diop,SAS,30,0.17,0.09,0.11,0.03,-0.06,0.18,0.12,0.09,0.00
8,Zach Collins,SAS,33,0.10,0.42,0.19,-0.02,-0.49,0.31,0.34,0.03,0.07
9,Blake Wesley,SAS,4,0.09,0.09,0.00,-0.00,-0.01,0.00,0.07,0.00,0.00
10,Isaiah Roby,SAS,31,0.01,0.03,0.02,-0.01,-0.04,0.03,0.11,0.02,0.01
11,Dominick Barlow,SAS,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Gorgui Dieng,SAS,14,-0.00,0.00,0.00,0.00,-0.00,0.01,0.07,0.00,0.01
