"GameId","Date","HomeTeamId","AwayTeamId","HomePoints","AwayPoints","HomePossessions","AwayPossessions","HomeTeamAbbreviation","AwayTeamAbbreviation"
"0022100641","2022-01-15","1610612749","1610612761",96,103,94,95,"MIL","TOR"
"0022100642","2022-01-15","1610612764","1610612757",110,115,103,103,"WAS","POR"
"0022100643","2022-01-15","1610612737","1610612752",108,117,91,90,"ATL","NYK"
"0022100645","2022-01-15","1610612748","1610612755",98,109,94,95,"MIA","PHI"
"0022100647","2022-01-15","1610612738","1610612741",114,112,90,90,"BOS","CHI"
"0022100648","2022-01-15","1610612759","1610612746",101,94,94,94,"SAS","LAC"
"0022100649","2022-01-15","1610612743","1610612747",133,96,95,94,"DEN","LAL"
"0022100650","2022-01-15","1610612742","1610612753",108,92,93,93,"DAL","ORL"
"0022100644","2022-01-15","1610612751","1610612740",120,105,96,96,"BKN","NOP"
"0022100646","2022-01-15","1610612760","1610612739",102,107,94,95,"OKC","CLE"
"0022100617","2022-01-16","1610612765","1610612756",108,135,101,99,"DET","PHX"
"0022100651","2022-01-16","1610612758","1610612745",112,118,102,103,"SAC","HOU"
"0022100653","2022-01-16","1610612743","1610612762",102,125,97,97,"DEN","UTA"
"0022100652","2022-01-16","1610612750","1610612744",119,99,103,102,"MIN","GSW"
"0022100654","2022-01-17","1610612738","1610612740",104,92,97,96,"BOS","NOP"
"0022100656","2022-01-17","1610612764","1610612755",117,98,99,98,"WAS","PHI"
"0022100657","2022-01-17","1610612739","1610612751",114,107,95,95,"CLE","BKN"
"0022100658","2022-01-17","1610612763","1610612741",119,106,103,103,"MEM","CHI"
"0022100659","2022-01-17","1610612746","1610612754",139,133,101,102,"LAC","IND"
"0022100660","2022-01-17","1610612737","1610612749",121,114,100,102,"ATL","MIL"
"0022100661","2022-01-17","1610612753","1610612757",88,98,100,100,"ORL","POR"
"0022100662","2022-01-17","1610612748","1610612761",104,99,91,92,"MIA","TOR"
"0022100664","2022-01-17","1610612759","1610612756",107,121,95,94,"SAS","PHX"
"0022100655","2022-01-17","1610612752","1610612766",87,97,86,87,"NYK","CHA"
"0022100663","2022-01-17","1610612742","1610612760",104,102,98,98,"DAL","OKC"
"0022100665","2022-01-17","1610612747","1610612762",101,95,96,95,"LAL","UTA"
"0022100666","2022-01-18","1610612752","1610612750",110,112,99,99,"NYK","MIN"
"0022100667","2022-01-18","1610612744","1610612765",102,86,97,97,"GSW","DET"
"0022100668","2022-01-19","1610612755","1610612753",123,110,97,97,"PHI","ORL"
"0022100669","2022-01-19","1610612764","1610612751",118,119,97,96,"WAS","BKN"
"0022100670","2022-01-19","1610612737","1610612750",134,122,101,98,"ATL","MIN"
"0022100671","2022-01-19","1610612738","1610612766",102,111,97,98,"BOS","CHA"
"0022100672","2022-01-19","1610612748","1610612757",104,92,94,94,"MIA","POR"
"0022100673","2022-01-19","1610612741","1610612739",117,104,95,94,"CHI","CLE"
"0022100674","2022-01-19","1610612749","1610612763",126,114,107,107,"MIL","MEM"
"0022100675","2022-01-19","1610612742","1610612761",102,98,93,94,"DAL","TOR"
"0022100676","2022-01-19","1610612759","1610612760",118,96,99,101,"SAS","OKC"
"0022100677","2022-01-19","1610612762","1610612745",111,116,94,95,"UTA","HOU"
"0022100678","2022-01-19","1610612743","1610612746",130,128,102,102,"DEN","LAC"
"0022100680","2022-01-19","1610612747","1610612754",104,111,94,93,"LAL","IND"
"0022100679","2022-01-19","1610612758","1610612765",131,133,98,97,"SAC","DET"
"0022100681","2022-01-20","1610612752","1610612740",91,102,94,93,"NYK","NOP"
"0022100682","2022-01-20","1610612742","1610612756",101,109,99,97,"DAL","PHX"
"0022100683","2022-01-20","1610612744","1610612754",117,121,108,109,"GSW","IND"
"0022100684","2022-01-21","1610612766","1610612760",121,98,101,102,"CHA","OKC"
"0022100685","2022-01-21","1610612753","1610612747",105,116,106,104,"ORL","LAL"
"0022100686","2022-01-21","1610612755","1610612746",101,102,92,92,"PHI","LAC"
"0022100687","2022-01-21","1610612737","1610612748",110,108,91,92,"ATL","MIA"
"0022100688","2022-01-21","1610612738","1610612757",105,109,92,92,"BOS","POR"
"0022100689","2022-01-21","1610612764","1610612761",105,109,93,94,"WAS","TOR"
"0022100690","2022-01-21","1610612749","1610612741",94,90,95,95,"MIL","CHI"
"0022100691","2022-01-21","1610612759","1610612751",102,117,94,95,"SAS","BKN"
"0022100692","2022-01-21","1610612743","1610612763",118,122,102,103,"DEN","MEM"
"0022100693","2022-01-21","1610612762","1610612765",111,101,95,94,"UTA","DET"
"0022100694","2022-01-21","1610612744","1610612745",105,103,96,95,"GSW","HOU"
"0022100696","2022-01-22","1610612749","1610612758",133,127,100,101,"MIL","SAC"
"0022100697","2022-01-22","1610612756","1610612754",113,103,97,96,"PHX","IND"
"0022100695","2022-01-22","1610612739","1610612760",94,87,94,93,"CLE","OKC"
"0022100698","2022-01-23","1610612752","1610612746",110,102,95,94,"NYK","LAC"
"0022100699","2022-01-23","1610612764","1610612738",87,116,96,97,"WAS","BOS"
"0022100700","2022-01-23","1610612748","1610612747",113,107,97,96,"MIA","LAL"
"0022100701","2022-01-23","1610612753","1610612741",114,95,98,99,"ORL","CHI"
"0022100702","2022-01-23","1610612761","1610612757",105,114,99,98,"TOR","POR"
"0022100703","2022-01-23","1610612766","1610612737",91,113,100,100,"CHA","ATL"
"0022100704","2022-01-23","1610612759","1610612755",109,115,96,96,"SAS","PHI"
"0022100705","2022-01-23","1610612742","1610612763",104,91,96,96,"DAL","MEM"
"0022100706","2022-01-23","1610612750","1610612751",136,125,101,100,"MIN","BKN"
"0022100707","2022-01-23","1610612743","1610612765",117,111,95,96,"DEN","DET"
"0022100708","2022-01-23","1610612744","1610612762",94,92,84,85,"GSW","UTA"
"0022100001","2021-10-19","1610612749","1610612751",127,104,101,100,"MIL","BKN"
"0022100003","2021-10-20","1610612766","1610612754",123,122,106,106,"CHA","IND"
"0022100006","2021-10-20","1610612761","1610612764",83,98,106,106,"TOR","WAS"
"0022100007","2021-10-20","1610612763","1610612739",132,121,103,102,"MEM","CLE"
"0022100009","2021-10-20","1610612740","1610612755",97,117,97,99,"NOP","PHI"
"0022100011","2021-10-20","1610612762","1610612760",107,86,95,95,"UTA","OKC"
"0022100013","2021-10-20","1610612757","1610612758",121,124,106,105,"POR","SAC"
"0022100016","2021-10-21","1610612744","1610612746",115,113,102,103,"GSW","LAC"
"0022100018","2021-10-22","1610612753","1610612752",96,121,97,98,"ORL","NYK"
"0022100019","2021-10-22","1610612764","1610612754",135,134,103,103,"WAS","IND"
"0022100022","2021-10-22","1610612741","1610612740",128,112,103,101,"CHI","NOP"
"0022100024","2021-10-22","1610612743","1610612759",102,96,101,102,"DEN","SAS"
"0022100026","2021-10-22","1610612758","1610612762",101,110,102,103,"SAC","UTA"
"0022100028","2021-10-23","1610612754","1610612748",102,91,106,105,"IND","MIA"
"0022100030","2021-10-23","1610612741","1610612765",97,82,100,100,"CHI","DET"
"0022100032","2021-10-23","1610612759","1610612749",111,121,101,102,"SAS","MIL"
"0022100034","2021-10-23","1610612746","1610612763",114,120,97,97,"LAC","MEM"
"0022100036","2021-10-24","1610612752","1610612753",104,110,103,102,"NYK","ORL"
"0022100038","2021-10-24","1610612760","1610612755",103,115,96,96,"OKC","PHI"
"0022100040","2021-10-24","1610612747","1610612763",121,118,101,99,"LAL","MEM"
"0022100042","2021-10-25","1610612754","1610612749",109,119,104,105,"IND","MIL"
"0022100043","2021-10-25","1610612737","1610612765",122,104,102,102,"ATL","DET"
"0022100045","2021-10-25","1610612748","1610612753",107,90,97,97,"MIA","ORL"
"0022100047","2021-10-25","1610612750","1610612740",98,107,101,100,"MIN","NOP"
"0022100050","2021-10-26","1610612752","1610612755",112,99,91,93,"NYK","PHI"
"0022100051","2021-10-26","1610612760","1610612744",98,106,98,97,"OKC","GSW"
"0022100053","2021-10-26","1610612759","1610612747",121,125,116,115,"SAS","LAL"
"0022100056","2021-10-27","1610612738","1610612764",107,116,99,99,"BOS","WAS"
"0022100057","2021-10-27","1610612751","1610612748",93,106,102,101,"BKN","MIA"
"0022100060","2021-10-27","1610612749","1610612750",108,113,99,98,"MIL","MIN"
"0022100062","2021-10-27","1610612756","1610612758",107,110,99,100,"PHX","SAC"
"0022100064","2021-10-27","1610612746","1610612739",79,92,95,96,"LAC","CLE"
"0022100066","2021-10-28","1610612764","1610612737",122,111,100,100,"WAS","ATL"
"0022100067","2021-10-28","1610612741","1610612752",103,104,93,94,"CHI","NYK"
"0022100069","2021-10-28","1610612742","1610612759",104,99,95,95,"DAL","SAS"
"0022100071","2021-10-29","1610612761","1610612753",110,109,92,93,"TOR","ORL"
"0022100073","2021-10-29","1610612748","1610612766",114,99,98,97,"MIA","CHA"
"0022100075","2021-10-29","1610612743","1610612742",106,75,98,96,"DEN","DAL"
"0022100077","2021-10-29","1610612747","1610612739",113,101,93,93,"LAL","CLE"
"0022100079","2021-10-30","1610612765","1610612753",110,103,98,98,"DET","ORL"
"0022100002","2021-10-19","1610612747","1610612744",114,121,111,112,"LAL","GSW"
"0022100004","2021-10-20","1610612765","1610612741",88,94,98,96,"DET","CHI"
"0022100005","2021-10-20","1610612752","1610612738",138,134,123,124,"NYK","BOS"
"0022100008","2021-10-20","1610612750","1610612745",124,106,107,107,"MIN","HOU"
"0022100010","2021-10-20","1610612759","1610612753",123,97,95,95,"SAS","ORL"
"0022100012","2021-10-20","1610612756","1610612743",98,110,99,101,"PHX","DEN"
"0022100014","2021-10-21","1610612737","1610612742",113,87,103,103,"ATL","DAL"
"0022100015","2021-10-21","1610612748","1610612749",137,95,106,105,"MIA","MIL"
"0022100017","2021-10-22","1610612739","1610612766",112,123,104,105,"CLE","CHA"
"0022100020","2021-10-22","1610612738","1610612761",83,115,101,100,"BOS","TOR"
"0022100021","2021-10-22","1610612755","1610612751",109,114,95,96,"PHI","BKN"
"0022100023","2021-10-22","1610612745","1610612760",124,91,103,103,"HOU","OKC"
"0022100025","2021-10-22","1610612747","1610612756",105,115,100,101,"LAL","PHX"
"0022100027","2021-10-23","1610612739","1610612737",101,95,97,95,"CLE","ATL"
